inputDataLabel,outputDataLabel,inputVersion,outputVersion,varId,used,name,nameWithinFile,datasetGroupPath,bitPosition,bitCount,type,divisor,unit,min,max,nodata_value,nodata_value2,resamplingFactor,comment,Comment_2
Data label of the file used as an input,Data label of the file generated as an output,version of the input,Version of the output,Unique id of the output variable,"1: included in the generation, 0: excluded",,Field name in the file,For .h5 files,,,,,,,,,,1: 2400x2400 for mod09ga. 2: 1200x1200,0,
,,,,,,,,,,,,,,,,,,,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,61,1,snow_cover_days_s,,,,,uint16,1,day,0,366,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,62,1,albedo_s,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,63,1,radiative_forcing_s,,,,,uint16,1,W/m^2,0,500,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,67,1,gap_snow_fraction_s,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,68,1,sensor_azimuth,,,,,int16,1,degree,-180,180,32767,,2,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,69,0,range,,,,,uint16,0.04,meter,0,65535,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,70,0,gflags,,,,,uint8,1,Bit field,0,255,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,71,0,orbit_pnt,,,,,int8,1,,0,122,-1,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,72,0,obscov,,,,,int8,100,,0,122,-1,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,73,0,iobs_res,,,,,uint8,1,,0,255,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,74,0,q_scan,,,,,uint8,1,,0,255,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,75,0,days_since_last_observation,,,,,uint16,1,day,0,366,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,76,1,viewable_snow_fraction_status_s,,,,,uint8,1,unitless,0,255,0,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,77,1,days_without_observation_s,,,,,uint16,1,day,0,366,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,78,1,days_since_last_observation_s,,,,,uint16,1,day,0,366,65535,,1,,
