groupId,id,websiteDisplay,202402websiteDisplay,,Comment
Unique id of the group which include the subdivision. NB: A subdivision can be included in several groups.,Unique id used in the stat files. Called snowtod_id in the shapefiles,"1: link displayed on the website, even if the results for the group shouldn’t be displayed.","Previous version as a reminder 1: link displayed on the website, even if the results for the group shouldn’t be displayed.",,0
17129,24112,1,1,,
17129,24113,1,1,,
17129,24114,1,1,,
17129,24115,1,1,,
17131,24117,1,1,,
17132,24118,1,1,,
17132,24119,1,1,,
17132,24120,1,1,,
17132,24121,1,1,,
17132,24122,1,1,,
17132,24123,1,1,,
17132,24124,1,1,,
17132,24125,1,1,,
17132,24126,1,1,,
17132,24128,1,1,,
17133,24129,1,1,,
17136,24132,1,1,,
17138,24134,1,2,,
17139,24136,1,1,,
17140,24137,1,1,,
17142,24139,1,1,,
17143,24140,1,1,,
17145,24143,1,1,,
17146,24145,1,1,,
17147,24146,1,1,,
17148,24147,1,1,,
17149,24148,1,1,,
17150,24150,1,1,,
17151,24152,1,1,,
17152,24153,1,1,,
17153,24154,1,1,,
17154,24155,1,1,,
17154,24156,1,1,,
17154,24157,1,1,,
17154,24158,1,1,,
17154,24159,1,1,,
17154,24160,1,1,,
17154,24161,1,1,,
17154,24162,1,1,,
17154,24163,1,1,,
17155,24164,1,1,,
17156,24165,1,1,,
17157,24166,1,1,,
17158,24167,1,1,,
17160,24170,1,1,,
17160,24171,1,1,,
17160,24172,1,1,,
17160,24173,1,1,,
17163,24176,1,1,,
17163,24177,1,1,,
17163,24178,1,1,,
17163,24179,1,1,,
17163,24180,1,1,,
17163,24181,1,1,,
17163,24182,1,1,,
17163,24183,1,1,,
17163,24184,1,1,,
17164,24186,1,1,,
17164,24187,1,1,,
17381,24989,1,2,,
,,,,,
,,,,,
,,,,,
15086,16420,1,1,,
15086,16421,1,1,,
15086,16422,1,1,,
15086,16423,1,1,,
15086,16424,1,1,,
15086,16425,1,1,,
15086,16426,1,1,,
15086,16428,1,1,,
15087,16430,1,1,,
15089,16468,1,1,,
15091,16471,1,1,,
15091,16472,1,1,,
15091,16473,1,1,,
15091,16474,1,1,,
15091,16475,1,1,,
15091,16476,1,1,,
15091,16477,1,1,,
15091,16478,1,1,,
15092,16480,1,1,,
15092,16481,1,1,,
15092,16482,1,1,,
15092,16483,1,1,,
15092,16484,1,1,,
15092,16485,1,1,,
15092,16486,1,1,,
15094,16500,1,1,,
15101,16561,1,1,,
15104,16586,1,1,,
15104,16587,1,1,,
15118,16634,1,1,,
15129,16678,1,1,,
15129,16680,1,1,,
15129,16682,1,1,,
15129,16683,1,1,,
15129,16684,1,1,,
15129,16685,1,1,,
15129,16686,1,1,,
15129,16688,1,1,,
15131,16700,1,1,,
15138,16725,1,1,,
15141,16732,1,1,,
15141,16736,1,1,,
15144,16743,1,1,,
15144,16744,1,1,,
15144,16745,1,1,,
15144,16746,1,1,,
15144,16747,1,1,,
15144,16748,1,1,,
15147,16766,1,1,,
15148,16771,1,1,,
15148,16772,1,1,,
15148,16773,1,1,,
15148,16774,1,1,,
15148,16775,1,1,,
15148,16776,1,1,,
15151,16779,1,1,,
15151,16780,1,1,,
15151,16782,1,1,,
15151,16783,1,1,,
15151,16784,1,1,,
15151,16785,1,1,,
15151,16786,1,1,,
15151,16787,1,1,,
15151,16788,1,1,,
15151,16789,1,1,,
15152,16790,1,1,,
15152,16791,1,1,,
15152,16793,1,1,,
15152,16794,1,1,,
15152,16795,1,1,,
15153,16797,1,1,,
15153,16799,1,1,,
15153,16801,1,1,,
15153,16802,1,1,,
15153,16803,1,1,,
15153,16804,1,1,,
15153,16805,1,1,,
15153,16806,1,1,,
15153,16807,1,1,,
15153,16808,1,1,,
15154,16810,1,1,,
15154,16811,1,1,,
15154,16812,1,1,,
15154,16813,1,1,,
15154,16814,1,1,,
15154,16815,1,1,,
15155,16816,1,1,,
15156,16820,1,1,,
15159,16831,1,1,,
15160,16832,1,1,,
15160,16833,1,1,,
15160,16834,1,1,,
15160,16836,1,1,,
15160,16837,1,1,,
15160,16838,1,1,,
15160,16839,1,1,,
15160,16840,1,1,,
15160,16841,1,1,,
15160,16842,1,1,,
15161,16843,1,1,,
15162,16844,1,1,,
15162,16845,1,1,,
15162,16846,1,1,,
15162,16847,1,1,,
15162,16849,1,1,,
15162,16851,1,1,,
15162,16853,1,1,,
15163,16854,1,1,,
15218,17033,1,1,,
15218,17036,1,1,,
15228,17092,1,1,,
15230,17103,1,1,,
15232,17115,1,1,,
15232,17117,1,1,,
15232,17118,1,1,,
15232,17119,1,1,,
15232,17120,1,1,,
15232,17121,1,1,,
15232,17122,1,1,,
15232,17124,1,1,,
15233,17125,1,1,,
15233,17127,1,1,,
15233,17129,1,1,,
15233,17131,1,1,,
15233,17132,1,1,,
15233,17133,1,1,,
15233,17136,1,1,,
15235,17138,1,2,,
15235,17139,1,1,,
15235,17140,1,1,,
15235,17142,1,1,,
15235,17143,1,1,,
15235,17145,1,1,,
15235,17146,1,1,,
15235,17147,1,1,,
15235,17148,1,1,,
15235,17149,1,1,,
15236,17150,1,1,,
15236,17151,1,1,,
15236,17152,1,1,,
15236,17153,1,1,,
15236,17154,1,1,,
15236,17155,1,1,,
15236,17156,1,1,,
15236,17157,1,1,,
15236,17158,1,1,,
15238,17160,1,1,,
15239,17163,1,1,,
15240,17164,1,1,,
15269,17376,1,2,,
15269,17381,1,2,,
,,,,,
,,,,,
26001,15269,0,0,,
26001,15270,0,0,,
26001,15272,0,0,,
26001,15275,0,0,,
26001,15276,0,0,,
26001,15278,0,0,,
26002,15101,1,1,,
26002,15104,1,1,,
26002,15118,1,1,,
26002,15129,1,1,,
26002,15131,1,1,,
26002,15138,1,1,,
26002,15141,1,1,,
26002,15144,1,1,,
26002,15148,1,1,,
26002,15151,1,1,,
26002,15152,1,1,,
26002,15153,1,1,,
26002,15154,1,1,,
26002,15155,1,1,,
26002,15156,1,1,,
26002,15159,1,1,,
26002,15160,1,1,,
26002,15161,1,1,,
26002,15162,1,1,,
26002,15163,1,1,,
26004,15218,1,1,,
26004,15228,1,1,,
26004,15230,1,1,,
26004,15232,1,1,,
26004,15233,1,1,,
26004,15234,1,1,,
26004,15235,1,2,,
26004,15236,1,1,,
26004,15238,1,1,,
26004,15239,1,1,,
26004,15240,1,1,,
26004,15243,1,1,,
,,,,,
,,,,,
26101,15243,1,1,,
26101,15269,1,2,,
26101,15270,1,1,,
26101,15272,1,1,,
26101,15274,1,1,,
26101,15275,1,1,,
26101,15276,1,1,,
26101,15277,1,1,,
26101,15278,1,1,,
